element_type,osmid,amenity,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,fast_food,cuisine,nodes,building,branch,layer,internet_access,internet_access:fee,smoking,toilets:wheelchair,wheelchair
node,2461362750,restaurant,西北谷,西北谷,西北谷,西北谷,POINT (113.9291323 22.5404463),,,,,,,,,,,
node,2461365925,restaurant,南校区餐厅,南校区餐厅,南校区餐厅,南校區餐廳,POINT (113.9360978 22.5332137),cafeteria,,,,,,,,,,
way,230847108,restaurant,教工餐厅,教工餐厅,教工餐厅,教工餐廳,"POLYGON ((113.929443 22.5374, 113.9291296 22.5372784, 113.9290163 22.5375291, 113.9292477 22.5376185, 113.9293288 22.5376499, 113.929443 22.5374))",cafeteria,,"[2392834681, 2392834669, 2392834673, 2393798406, 2392834680, 2392834681]",yes,,,,,,,
way,230935221,restaurant,晨风餐厅（老西南餐厅）,晨风餐厅（老西南餐厅）,晨风餐厅（老西南餐厅）,晨風餐廳（老西南餐廳）,"POLYGON ((113.9267355 22.5310911, 113.9267097 22.531237, 113.9263592 22.531184, 113.9263851 22.5310381, 113.9267355 22.5310911))",,chinese,"[2393619996, 2393619935, 2393619941, 2393620018, 2393619996]",yes,新西南餐厅,,,,,,
way,230935723,restaurant,凯风餐厅（新西南餐厅）,凯风餐厅（新西南餐厅）,凯风餐厅（新西南餐厅）,凱風餐廳（新西南餐廳）,"POLYGON ((113.9262955 22.5311351, 113.9262776 22.5312212, 113.9261945 22.5312757, 113.9262294 22.5313203, 113.92594 22.5315038, 113.9257427 22.5312398, 113.9257098 22.5312325, 113.9256741 22.5312187, 113.9256503 22.5311978, 113.9256376 22.5311736, 113.9256328 22.5311513, 113.9256383 22.5311235, 113.9256496 22.5310965, 113.9256662 22.5310723, 113.925635 22.5310151, 113.9256335 22.5309991, 113.9256393 22.5309815, 113.9256484 22.5309595, 113.9256676 22.5309419, 113.9256885 22.5309308, 113.9257112 22.5309255, 113.925741 22.5309256, 113.9257841 22.5309338, 113.9262375 22.5310382, 113.9262232 22.5311201, 113.9262955 22.5311351))",,chinese,"[2393624151, 2393624144, 2393624178, 2393624162, 2393624166, 2393624177, 2393624174, 2393624191, 2393624146, 2393624182, 2393624161, 2393624180, 2393624158, 2393624170, 2393624143, 2393624185, 2393624159, 2393624154, 2393624169, 2393624168, 2393624167, 2393624148, 2393624186, 2393624181, 2393624163, 2393624151]",yes,新西南餐厅,1,,,,,
way,231214221,restaurant,听山餐厅,,,,"POLYGON ((113.9289488 22.5316546, 113.9289744 22.5315293, 113.929324 22.5316288, 113.9292506 22.5319073, 113.9290939 22.5318899, 113.9289108 22.531857, 113.9289488 22.5316546))",,chinese,"[2396209481, 2396209479, 2396209492, 2396209480, 11697270642, 11697270643, 2396209481]",yes,,,,,,,
way,231406260,restaurant,,,,,"POLYGON ((113.929998 22.5409882, 113.9299974 22.5410227, 113.9299312 22.5410217, 113.9299318 22.540986, 113.9298527 22.5409849, 113.9298565 22.5407566, 113.9301043 22.5407602, 113.9301004 22.5409897, 113.929998 22.5409882))",cafeteria,,"[2398001517, 2398001523, 2398001744, 2398001509, 2398001531, 2398001524, 2398001519, 2398001528, 2398001517]",yes,,,,,,,
way,231436813,restaurant,文山湖餐厅,文山湖餐厅,文山湖餐厅,文山湖餐廳,"POLYGON ((113.9293747 22.5325558, 113.9293164 22.5328589, 113.9292108 22.532843, 113.9291572 22.532835, 113.9290127 22.5328133, 113.9290248 22.532745, 113.9290459 22.5326259, 113.9287574 22.5325782, 113.9287835 22.5324548, 113.9291621 22.5325174, 113.9293747 22.5325558))",,,"[2398268311, 2398268244, 2398268247, 2398268313, 2398268377, 2461336997, 2398268355, 2398268361, 2398268357, 2399009554, 2398268311]",yes,,,,,,,
way,231796623,restaurant,荔山餐厅,荔山餐厅,荔山餐厅,荔山餐廳,"POLYGON ((113.9331094 22.5372434, 113.9331845 22.5368123, 113.9334601 22.5368498, 113.9333964 22.5372062, 113.933292 22.5371926, 113.9332792 22.5372688, 113.9331094 22.5372434))",cafeteria,chinese,"[2401267121, 2401267124, 2401267138, 2401267115, 2401267134, 2401267110, 2401267121]",yes,,,no,no,no,no,no
way,231796624,restaurant,实验餐厅,实验餐厅,实验餐厅,實驗餐廳,"POLYGON ((113.9338674 22.5370062, 113.9336371 22.536971, 113.9336427 22.5369307, 113.9335707 22.5369213, 113.9335117 22.5372904, 113.9337451 22.5373276, 113.9337576 22.5372434, 113.9338255 22.5372533, 113.9338674 22.5370062))",cafeteria,,"[2401267100, 2401267130, 2401267113, 2401267108, 2401267102, 2401267106, 2401267132, 2401267140, 2401267100]",yes,,,,,,no,no
way,971088922,restaurant,荔天餐厅,荔天餐厅,荔天餐厅,荔天餐廳,"POLYGON ((113.9331219 22.5367081, 113.9331905 22.536393, 113.9339652 22.5365357, 113.9339029 22.5368488, 113.9331219 22.5367081))",,chinese,"[8987400722, 8987400723, 8987400724, 8987400725, 8987400722]",yes,,,,,,,
