element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,addr:unit,alt_name,amenity,level,name,url,geometry,opening_hours,brand,brand:wikidata,cuisine,source,takeaway,website,internet_access,contact:website,official_name,operator,operator:wikidata,nodes,building,outdoor_seating,paloalto_ca:id
node,281870028,Stanford,459,94305,CA,Lagunita Drive,1,Stanford Coffee House,cafe,0,CoHo,http://coho.stanford.edu/,POINT (-122.1708258 37.424076),,,,,,,,,,,,,,,,
node,287462718,,,,,,,,cafe,,Bytes Cafe,,POINT (-122.1735455 37.4293614),Mo-Fr 07:30-17:00,,,,,,,,,,,,,,,
node,1255955100,,326,,,Galvez,,,cafe,,Alumni Café,,POINT (-122.1646839 37.4308433),,,,,,,,,,,,,,,,
node,1708076036,,,,,,,,cafe,3,Cafe Buttery (serving Peet's Coffee),,POINT (-122.1741744 37.430979),,Peet's Coffee,Q1094101,coffee_shop,Personal Visit,yes,https://www.butterybakery.com/,,,,,,,,,
node,1708076048,,,,,,,,cafe,,Med Cafe,,POINT (-122.1755772 37.4319649),,,,american,Personal Visit,,,,,,,,,,,
node,3355037887,Stanford,473,94305,CA,Via Ortega Drive,,,cafe,,Coupa Cafe,,POINT (-122.1755881 37.4283258),Mo-Fr 07:30-17:30,,,coffee_shop,,,,no,,,,,,,,
node,4742742429,,,,,,,,cafe,1,Stanford Bookstore Café,,POINT (-122.1688008 37.4250221),,,,,,,,,,,,,,,,
node,5555953390,,,,,,,,cafe,0,Starbucks,,POINT (-122.170831 37.4243503),,Starbucks,Q37158,coffee_shop,,yes,,,https://www.starbucks.com/store-locator/store/90069/tresidder-union-stanford-459-lagunita-drive-stanford-ca-943058213-us,Starbucks Coffee,Stanford Hospitality & Auxiliaries,Q114364408,,,,
node,5753077921,,,,,,,,cafe,,Coupa Cafe,,POINT (-122.1621512 37.4280163),,,,,,,,,,,,,,,,
node,6593596200,,,,,,,,cafe,,Cantor Cafe,,POINT (-122.1712381 37.4326574),,,,,,,,,,,,,,,,
node,7115901022,,475,,,"Via Ortega, Stanford, CA 94305, Vereinigte Staaten",,,cafe,,Coupa Cafe - Huang Engineering Center,,POINT (-122.174279 37.4282157),Mo-Fr 09:00-16:00,,,,,,,,,,,,,,,
way,232805662,Stanford,571,,,Escondido Mall,,,cafe,,Coupa Cafe,,"POLYGON ((-122.167023 37.426242, -122.166885 37.426212, -122.166902 37.426161, -122.16704 37.42619, -122.167023 37.426242))",,,,,City of Palo Alto CA 0713,,,,,,,,"[2411240382, 2411240374, 2411240363, 2411240368, 2411240382]",yes,only,29639
